,Título do Artigo,Autor,Palavras-chave,Resumo,PDF Links,Link para o Sumário Executivo,Link
10,DP 0258 - Measuring the Impact of the OECD Guidelis for Multinational Companies,Bernardo Mueller Felipe e Yudi Roviello,Keywords: responsible business conduct; ESG; OECD; governance; event studies.,"The OECD Guidelines for the responsible business conduct of Multinational Enterprises is one of the largest corporate social responsibility programs (CSR) in the world. By February 2021, 501 allegations of misconduct by multinational companies have been brought to the attention of the National Contact Points (NCP) of its signatory countries. These cases have resulted in a varied sample of experiences which can be used to quantitatively identify the impact on a company of being denounced within this framework. This paper describes an approach to measure the impact of the OECD Guidelines on the affected enterprises. Because adherence to the Guidelines is voluntary, these do not have judicial force or official sanctioning mechanisms. Their efficacy depends on the impact that they have on companies’ reputation and public image. Measuring this impact is not straightforward, yet a large literature on Corporate Social Responsibility has developed many methods to detect and quantify how the public’s perception of companies’ behavior and choices in areas not directly linked to their core business can be measured. In this paper we use several variants of event studies as methods to detect potential costs imposed on a multinational company of having an allegation of misconduct brought before a NCP. These methods use stock market data to detect stock price if there are oscillations around the time of the denunciation. If the companies’ returns suffer due to having alleged misconduct brought before this mechanism, it is reasonable to assume that the Guidelines and NCPs are effective. The variations revolve on what is used as a counterfactual to the observed market oscillations. We consider three counterfactuals: i) a market model; ii) a sample of non-denounced companies matched along a set of covariates; and iii) the firms’ returns over an interval of placebo-dates, when they were not denounced. We find clear evidence that in many cases the firms’ exposure through the program led to a statistically significant decrease in returns at the time of the denunciation. These effects varied, however, across firms, sectors and countries.",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_258.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_258_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38360
11,DP 0256 - Judicial attitudes under shifting jurisprudence: evidence from Brazil's new drug law of 2006,Rodrigo Costa,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/210524_dp_256.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/210524_dp_256_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38017
12,DP 0257 - International City’s Networks and Diplomacy,Renato Balbim,Keywords: city diplomacy; cities’ networks; internationalization; globalization; international agreements; geopolitics.Palavras-chave: diplomacia de cidades; redes de cidades; internacionalização; globalização; acordos internacionais; geopolítica.,"The internationalization of cities and the constitution of a new international space of power involves a much more expressive number of cities than the usual global cities. Nowadays, dozens of international organizations are composed of regional capitals, medium, and even small cities. With diverse agendas and their own strategies of action, those organizations seek to interfere in global processes and negotiate with large corporations, multilateral organizations, and nation-states. Historically, the internationalization of cities carries strategic values such as peace, culture, and sustainability, among others discussed in this paper. More recently, the notion of the city as merchandise explains this process. Urban requalification and urban space commoditization are treated here under the conception of rugosities (Ribeiro, 2012), local and global rationality (Santos, 1995), and creative destruction (Brenner and Theodore, 2002). By hypothesis, I affirm that city internationalization is directly related to the democratic environment, degree of social participation, and local government’s autonomy. The magnitude of this process is measured confronting original database research to secondary sources and illustrated using the Brazilian scenario. Additionally, a theoretical discussion proposes an innovative classification of those networks according to their constitution, composition, agendas, and spatialization. The characteristics, agents, and means of city diplomacy are debated, and the adequacy of other terms (paradiplomacy, federative diplomacy, and metrodiplomacy). In conclusion, it summarizes notes and indications of further research aiming to deepen the knowledge about this new and important agent of the world order, the city network.

Keywords: city diplomacy; cities’ networks; internationalization; globalization; international agreements; geopolitics.

",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/12052021dp_257.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/12052021td_257_sumex_port.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37964
13,DP 0255 - ‘Robin Hood in Reverse’: persistence and barriers to redistributive fiscal policy,Pedro Cavalcante,Brazil; fiscal policy; inequality; institutions; political economy.,"Despite improvements in the living conditions of the population, there has not been a significant change in income disparities. Since the growth of left-wing parties and political competition as per the median voter hypothesis do not stand in the Brazilian case, what could explain the tenacity of inequality in the country? To answer this, the paper, grounded in new institutionalism theory, employed a process-tracing method to explore the causes of the continuity of unequal income distribution in Brazil. The inquiry tests the mechanism using the case of redistributive fiscal policy and the literature of electoral rules and business influence in the political system. This analysis reinforces that the Brazilian government not only misuses its fiscal instruments to distribute income, but also acts as a ‘Robin Hood in reverse’: that is, it withdraws from those who have less to subsidize or pay transfers to those who have more. Keywords:",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_255.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_255_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37564
14,"DP 0254 - Brazil’s Participation in United Nations Peacekeeping Operations:  evolution, challenges, and opportunities","Israel de Oliveira Andrade, Eduarda Passarelli Hamann e Matheus Augusto Soares",Keywords: peace operations; Brazil; United Nations; MINUSTAH; UNIFIL; peacekeeping,"Based on a state policy perspective, this paper seeks to present the path of Brazil’s participation in United Nations (UN) peace operations, from its genesis in 1947 to the present day, with the intent to comprehend whether there is a progressive and evolutionary pattern in these engagement efforts, and which would be the main challenges, contributions and future orientations to the country in this matter. To this end, in a first moment, the text will bring a conceptual discussion regarding the different definitions and understandings on peace operations. Subsequently, we will analyze the evolution of UN peace operations throughout its 70 years and the Brazilian positions during this period. In a third moment, we will present final considerations, identifying the upcoming challenges and the main possible perspectives for Brazil to engage in future peace operations. The intention, therefore, is to ascertain whether peacekeeping operations, as an instrument of international politics aligned to the guidelines of Brazilian defense and foreign policies, should continue to be supported by Brazil or if new reorientations are necessary as a national strategy.",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/dp_254.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/dp_254_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37455
15,DP 0253 - Are Fiscal VAR’s Non-Fundamentalness Easily Reversible Through the Addition of Informative Variables?,Christian Vonbun e Elcyon Caiado Rocha Lima,Keywords: fiscal policy; VAR; macroeconometrics; fundamentalness,"The VAR/SVAR (Vector Autoregressive and Structural Vector Autoregressive) models are the cornerstone of the contemporaneous empirical macroeconomic research, in particular for being able to measure the impact of fiscal policy shocks. They may be employed as atheoretical models, as well as a mean to support the estimation and testing of DSGE (Dynamic Stochastic General Equilibrium) models – the main theoretical tool for modern macroeconomics. Nevertheless, VAR models may be subject to pathologies, such as the non-fundamentalness. It is capable of biasing the estimates in any direction or intensity, and it consists of the non-invertibility of the MA (Moving Average) representation on the positive powers of the lag operator. This is associated with the insufficiency of the econometrician’s data to estimate the model’s correct parameters or with model misspecification. This study is the first to employ the latest and most efficient tests for non-fundamentalness on fiscal data for the USA: the Forni and Gambetti’s (2014) and Canova and Sahneh (2018) tests. The data and model were found to be non-fundamental. ",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/dp_253.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/dp_253_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37359
16,DP 0252 -Brazilian Nuclear-Powered Submarine: national defense and technological externalities,"Israel de Oliveira Andrade, Márcio Magno de Farias Franco e Silva, Giovanni Roriz Lyra Hillebrand e Luiz Gustavo Aversa Franco",Keywords: Submarine Development Program (PROSUB); Brazilian nuclear-powered submarine; national defense; geopolitics; defense industry; Defense Industrial Base (DIB); Blue Amazon; maritime power; public policies; Brazilian Navy.,"In order to prepare and employ naval power and contribute to national defense, the Brazilian Navy, through its programs and projects, seeks to develop means of implementation of naval war operations and actions suitable for its main tasks – sea denial and control, and power projection. A significant portion of these efforts is the Submarine Development Program (PROSUB), which the ultimate purpose is to develop the first Brazilian nuclear-powered submarine. This paper aims to emphasize the importance of PROSUB (especially regarding the nuclear submarine) to the accomplishment of the Brazilian Navy constitutional mission and to the country’s development and security, notably stressing its positive externalities (in technological, human resources and social terms) and the importance of its continuity and enhancement. ",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_252.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_252_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36881
17,DP 0251 - Brazil in Antarctica: the scientific and geopolitical importance of PROANTAR in the brazilian strategic surrounding area,"Israel de Oliveira Andrade, Leonardo Faria de Mattos, Andrea Cancela da Cruz-Kaled e Giovanni Roriz Lyra Hillebrand",Keywords: Antarctica; Brazilian Antarctic Program; research and development (R&D); strategic surrounding area; geopolitics; maritime power.,"As the most inhospitable continent on Earth, Antarctica has more than 90% of its territory covered with ice and contains around 70% of all potable water in the world. Its proximity to South America is especially relevant to Brazil, which includes it in the country’s strategic surrounding area. Furthermore, Antarctica is administered through an international regime based on a system of conventions and documents, which defined research activities as its fundamental purpose. The objective of this paper is to present the aspects of the Brazilian Antarctic Program (PROANTAR, in Portuguese), the main instrument of the national Antarctic policy, and the Brazil’s continued presence in the continent. In addition, this work aims to depict the importance of Antarctic activities to Brazil, considering not only strategic concerns, but also their relevance to national scientific research. Finally, it investigates PROANTAR’s budgetary elements, pointing out its current perspectives, and examines which directions public policies should take to contribute to the program’s continuity and strengthening.",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_251.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_251_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36586
18,DP 0250 - Fiscal Fatigue and Public Debt Limit in Brazil: are we on sustainable path?,Rodrigo Mendes Pereira,Keywords: primary balance; debt/GDP ratio; fiscal fatigue; debt limit.Palavras-chave: resultado primário; razão dívida/PIB; fadiga fiscal; limite da dívida.,"In this paper I use Ghosh et al. (2013) approach to assess Brazil’s fiscal sustainability, fiscal fatigue, and public debt limit. Using monthly data for the last 21 years, I estimate Brazil’s fiscal reaction function and an eventual fiscal fatigue effect, which is a lack of government’s will (or capability) to implement higher primary surpluses as a reaction to higher levels of debt. I show that fiscal fatigue occurs at relatively mild levels of debt in Brazil. I also define Brazil’s debt limit, which is the precise level of debt/GDP ratio above which the debt dynamics becomes explosive, public debt becomes unpayable, and the government invariably defaults. I show that the debt limit in Brazil is much lower than the limits that have been estimated for advanced economies.

Neste artigo, eu uso a abordagem de Ghosh et al. (2013) para investigar a sustentabilidade fiscal no Brasil, a fadiga fiscal e o limite para a dívida pública. Usando dados mensais para os últimos 21 anos, estimo a função de reação fiscal brasileira e um eventual efeito de fadiga fiscal, que é a falta de vontade (ou de habilidade) do governo para implementar um resultado primário mais alto, como reação a um aumento no endividamento. Mostro que a fadiga fiscal ocorre em níveis relativamente baixos de dívida no Brasil. Também defino o limite da dívida pública brasileira, que é o nível preciso da razão dívida/PIB, acima do qual a dinâmica da dívida se torna explosiva, tornando-a impagável, o que ocasiona invariavelmente a aplicação de uma moratória, por parte do governo, sobre ela. Por fim, mostro que o limite da dívida no Brasil é muito menor que aqueles que têm sido estimados para economias desenvolvidas.",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_250.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_250_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36362
19,DP 0249 - Implications of Brazilian Institutional Guidelines on Educational Efficiency,"Marcus Gerardus Lavagnole, Kalinca Lea Becker e Mário Jorge Mendonça",Keywords: educational inefficiency; Fundeb; stochastic frontier analysis; Bayesian inferencePalavras-chave: ineficiência educacional; Fundeb; fronteira estocástica; inferência bayesiana.,"This paper aims to investigate the relation between inefficiency in the Brazilian education system and municipal wealth, discussing how the actual legislation possibly influences it. To that end, we apply a stochastic frontier model which accommodates covariates in the asymmetric error component to analyze the impact of the GDP per capita on the inefficiencies. This methodology is applied to a panel dataset from the Metropolitan area of Porto Alegre municipalities over the period 2007-2017. The results indicate a positive effect, suggesting that richer municipalities are less efficient in allocating their resources.

Este trabalho tem como objetivo investigar a relação entre a ineficiência no sistema educacional brasileiro e a riqueza municipal, discutindo como a legislação atual possivelmente exerce influência na ineficiência. Para isso, aplicamos um modelo de fronteira estocástica que acomoda covariáveis na componente de erro assimétrico para analisar o impacto do PIB per capita sobre as ineficiências. Esta metodologia é aplicada a um painel de dados da área metropolitana dos municípios de Porto Alegre durante o período 2007-2017. Os resultados indicam que os municípios mais ricos são menos eficientes na alocação dos seus recursos.",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_249.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_249_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36178
20,DP 0248 - Tenure Choice: fundamentals and a simulation,Bernardo Alves Furtado e João Gabriel de Moraes Souza,Keywords: real estate; housing market; mortgage finance; decision-making; uncertainties.,"Real estate markets are subject to dynamic, ever-changing influences from location, amenities and neighborhoods; regulation, zoning and population changes; but also – macroeconomic variables, such as interest rates, inflation and economic cycles. The decision to buy or rent a durable, financially significant asset is a difficult one for both experts and amateurs alike. This paper provides a review of classic urban economic fundamentals and a more recent financial and macroeconomic analysis of the literature. There is consensus that a complex, long-term number of factors apply to the market and no single model can encompass all uncertainties revolving around the decision-making. Aiming at offering a practical tool, we propose a numerical simulation that takes the parameter space of renting versus purchasing homes to probabilistic estimate which choice would be more advantageous, more often. We analyze four concrete cases using Brazilian market sensible parameters. The simulation suggests that the amortization scheme known as SAC for the mortgage system is a better choice in nearly two-thirds of the cases. Renting is preferential on very low relative prices, very high real return or inflation. This pathway – from existing model and literature to a reasonable space of advantageous choice – leads to the suggestion that contracts in Brazil should acknowledge this level of uncertainty by including explicit mortgage renegotiations within shorter periods.",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_248.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_248_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35395
21,DP 0247 - Deforestation and Environmental Policy: a DSGE approach,"Rodrigo Mendes Pereira, Geraldo Sandoval Góes",Keywords: deforestation; real business cycle; environmental policy; DSGE.,"This paper proposes an environmental DSGE model with deforestation of a tropical rain forest. The forest can be used to produce goods, but it also affects the well-being of the representative individual. Environmental policy is implemented with the taxation of the deforestation activity. We calibrate the model for the Brazilian economy, and show that it predicts a procyclical deforestation, and that a more stringent policy reduces the volatility of deforestation. Moreover, technological progress decreases the stock of forest, and it does so more intensely with a lenient environmental policy.",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/dp_247.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/dp_247_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35194
22,DP 0246 - Impacts of Public Procurement on Business R&D Efforts: the Brazilian case,André Rauen e Bianca Souza de Paiva,Keywords: public procurement for innovation; quasi-experiment; Brazil.,"This paper aims to evaluate the impact of federal public procurement on business R&D efforts in the 2013-2016 period regardless the participation in any public procurement program (PPI). We conducted a quasi-experiment (with propensity score matching) in which we compared firms that sold to the federal government with firms that did not. In order to understand the differences between type of procurer and type of procured goods and services, we conducted five exercises: general sample; contracts from the of Ministry of Health, Ministry of Education and, Ministry of Defense, and with only high-tech suppliers. Regardless of the sample type, there was no impact of public procurement on the technology efforts of suppliers (considering the technology intensity approach). However, we found an unexpected impact on suppliers’ total personnel (PO). Our results shows that to produce some positive results on technological R&D, public procurement should be specifically designed to do that. In other words, without a strong PPI program, there will be no positive outcome in terms of technology development. Public procurement really works as innovation policy tool, but must be design to do so. ",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_ttrr246_web.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_246_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35126
