,PDF Links,Título do Artigo,Autor,Data Publicação,Título,Link
20,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/210715_ppe_miolo_art_06.pdf,PRODUTIVIDADE E MERCADO DE TRABALHO NO SETOR DE SERVIÇOS NO BRASIL: AVANÇOS E PERSISTÊNCIA DAS DESIGUALDADES NO PERÍODO 2004-201,"João Saboia, Lucia Kubrusly, Fernanda Baeta Neves, João Vitor Pereira, Luiz Hermida",,PPE - Pesquisa e Planejamento Econômico - 50 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38226
21,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/210715_ppe_miolo_art_07.pdf,ESTRUTURA PRODUTIVA E DISTRIBUIÇÃO INTERPESSOAL DE RENDA,"NO ESTADO DA BAHIA, Libania Araújo Silva, Luiz Carlos Santana Ribeiro, Kênia Barreiro de Souza",,PPE - Pesquisa e Planejamento Econômico - 50 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38226
22,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/210715_ppe_miolo_notas.pdf,NOTA AOS COLABORADORES,,,PPE - Pesquisa e Planejamento Econômico - 50 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38226
23,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/210322_ppe_50_n2_art01.pdf,FINANCIAMENTO DA EDUCAÇÃO SUPERIOR NO BRASIL: O IMPACTO DO PROGRAMA FIES NOS SALÁRIOS DOS TRABALHADORES FORMAIS,"Wilsimara M. Rocha, Philipp Ehrl, Leonardo Monasterio","2020 Agosto - Volume 50, 2",PPE - Pesquisa e Planejamento Econômico - 50 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37673
24,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/210322_ppe_50_n2_art02.pdf,O IMPACTO DO GASTO PÚBLICO E DA QUALIDADE POR NÍVEL DE ENSINO SOBRE O CRESCIMENTO DA RENDA DOS ESTADOS BRASILEIROS,"Eduardo Correia de Souza, Naercio Menezes Filho",,PPE - Pesquisa e Planejamento Econômico - 50 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37673
25,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/210322_ppe_50_n2_art03.pdf,A INFLUÊNCIA DO CAPITAL CULTURAL FAMILIAR SOBRE O DESEMPENHO ESCOLAR,"Luís Henrique Romani de Campos, Patricia Bandeira de Melo, Michela Barreto Camboim Gonçalves, Isabel Pessoa de Arruda Raposo",,PPE - Pesquisa e Planejamento Econômico - 50 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37673
26,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/210322_ppe_50_n2_art04.pdf,IMPACTOS SOCIOECONÔMICOS E SETORIAIS DOS PROJETOS DE INVESTIMENTO DAS FORÇAS ARMADAS DO BRASIL,"Paulo César Morceiro, Milene Simone Tessarin, Joaquim José Martins Guilhoto",,PPE - Pesquisa e Planejamento Econômico - 50 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37673
27,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/210322_ppe_50_n2_art05.pdf,CRÉDITO E DESEMPREGO NO BRASIL (2002-2015),"José Coelho Matos Filho, Vladimir Kühl Teles",,PPE - Pesquisa e Planejamento Econômico - 50 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37673
28,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/210322_ppe_50_n2_art06.pdf,DETERMINANTES DA VIOLÊNCIA DOMÉSTICA CONTRA A MULHER NO BRASIL,"Jayne Cecília Martins, Evandro Camargos Teixeira",,PPE - Pesquisa e Planejamento Econômico - 50 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37673
29,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/200825_ppe_v50_n1_art1.pdf,AS PERDAS DECORRENTES DAS APOSENTADORIAS PRECOCES NO BRASIL,"Bruno Ottoni, Fernando Holanda Barbosa Filho, Luiza Guimarães Nobre","2020 Abril - Volume 50, 1",PPE - Pesquisa e Planejamento Econômico - 50- nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36481
30,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/200825_ppe_v50_n1_art2.pdf,EDUCAÇÃO ESPECIAL E INCLUSÃO SOCIAL NA TRAJETÓRIA ESCOLAR E LABORAL PARA PESSOAS COM DEFICIÊNCIA NO BRASIL,"Raquel Pereira Pontes, Roberta Rodrigues Salvini, Maria Micheliana da Costa Silva",,PPE - Pesquisa e Planejamento Econômico - 50- nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36481
31,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/200825_ppe_v50_n1_art3.pdf,CICLOS POLÍTICOS E ELEITORAIS NA EXECUÇÃO DO PROGRAMA BOLSA FAMÍLIA EM NÍVEL MUNICIPAL,"Tiago Sousa Pereira, Vander Mendes Lucas, Moisés de Andrade Resende Filho",,PPE - Pesquisa e Planejamento Econômico - 50- nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36481
32,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/200825_ppe_v50_n1_art4.pdf,EFEITOS DO BACKGROUND FAMILIAR SOBRE OS RENDIMENTOS VIA MEDIAÇÃO DA EDUCAÇÃO,"Daniel Barbosa Guimarães, Ronaldo de Albuquerque e Arraes, Edward Martins Costa",,PPE - Pesquisa e Planejamento Econômico - 50- nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36481
33,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/200825_ppe_v50_n1_art5.pdf,CURVAS DE SALÁRIO DINÂMICAS E EFEITOS SOBRE O SALÁRIO REAL E O DESEMPREGO DE LONGO PRAZO PARA A ECONOMIA BRASILEIRA,"Roberto Santolin, Mariangela Furlan Antigo",,PPE - Pesquisa e Planejamento Econômico - 50- nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36481
34,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/200825_ppe_v50_n1_art6.pdf,DECOMPOSIÇÃO QUANTÍLICA INCONDICIONAL DOS DIFERENCIAIS DE DESEMPENHO ENTRE ALUNOS DE ESCOLAS PRIVADAS E PÚBLICAS PROFISSIONALIZANTES,"Ronaldo A. Arraes, Francisca Zilania Mariano",,PPE - Pesquisa e Planejamento Econômico - 50- nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=36481
35,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/200312_PPE_V49_N3_miolo_Art01.pdf,APOSENTADORIA E MERCADO DE TRABALHO: UMA ANÁLISE USANDO REGRESSÃO DESCONTÍNUA,"Gustavo Marcos Szniter Mentlik, Naercio Menezes-Filho, Bruno Kawaoka Komatsu, , Ronaldo A. Arraes, Francisca Zilania Mariano, , , Felipe Ponciano da Cruz, Ronaldo Seroa da Motta, Alexandre Marinho, , , Hélio de Sousa Ramos Filho, Rennan Kertlly de Medeiros, , , Priscilla Belle Oliveira Pinto, Cláudio R. Foffano Vasconcelos, Ricardo da Silva Freguglia, , Francisco Gildemir Ferreira da Silva, José Kleber Macambira, Carlos Henrique Rocha","2019 dezembro - Volume 49, 3",PPE - Pesquisa e Planejamento Econômico - 49 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35370
36,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/190927_ppe_49_n2_artigo01.pdf,AVALIAÇÃO E REFORMULAÇÃO DA ESTRUTURA TARIFÁRIA NO BRASIL,"Honorio Kume, , , Danyella Juliana Martins de Brito, Stélio Coêlho Lombardi Filho, , , Daniela Verzola Vaz, Danilo Braun Santos, Alexandre Ribeiro Leichsenring, , , Maitê Rimekká Shirasu, Ronaldo de Albuquerque e Arraes, , , Wallace Patrick Santos de Farias Souza, Shirley Pereira de Mesquita, Victor Rodrigues de Oliveira, Maria Eduarda de Lima e Silva, , , José Weligton Félix Gomes, Ricardo A. de Castro Pereira, Arley Rodrigues Bezerra","2019 agosto - Volume 49, 2",PPE - Pesquisa e Planejamento Econômico - 49 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=35077
37,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/190508_ppe_v49_n1_art1.pdf,TESTANDO A ESTABILIDADE DO EFEITO DOS DETERMINANTES MICROECONÔMICOS DA TAXA DE POUPANÇA DAS FAMÍLIAS,"Ajax Bello Moreira, Marcos Antonio Coutinho da Silveira","2019 abril - Volume 49, 1",PPE - Pesquisa e Planejamento Econômico - 49 - nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34724
38,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/190508_ppe_v49_n1_art2.pdf,A EFICIÊNCIA TÉCNICA DAS DISTRIBUIDORAS DE ELETRICIDADE DO BRASIL DURANTE 2003-2012: UMA APLICAÇÃO DE FUNÇÕES DE DISTÂNCIA ESTOCÁSTICAS,"Mariana De Santis, Fernando Damonte, Elías Curi",,PPE - Pesquisa e Planejamento Econômico - 49 - nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34724
39,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/190508_ppe_v49_n1_art3.pdf,EFEITOS DO PROGRAMA DE QUALIFICAÇÃO PROFISSIONAL BOLSA FUTURO NA EMPREGABILIDADE E SALÁRIO DOS TRABALHADORES,"Guilherme Resende Oliveira, Felipe Resende Oliveira, Rafael Terra, Ana Carolina Zoghbi",,PPE - Pesquisa e Planejamento Econômico - 49 - nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34724
40,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/190508_ppe_v49_n1_art4.pdf,UMA ABORDAGEM DE DECOMPOSIÇÃO QUANTÍLICA PARA DIFERENCIAIS REGIONAIS DE SALÁRIOS NO BRASIL METROPOLITANO,"Matheus Menezes dos Santos, Ana Maria Hermeto",,PPE - Pesquisa e Planejamento Econômico - 49 - nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34724
41,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/190508_ppe_v49_n1_art5.pdf,"TAL PAI, TAL FILHO? UMA ANÁLISE DOS EFEITOS FATORES DE CIRCUNSTÂNCIAS SOBRE O DESEMPENHO DOS ALUNOS NA AVALIAÇÃO DO PISA 2012","Lauro Nogueira, Erik Figueiredo",,PPE - Pesquisa e Planejamento Econômico - 49 - nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34724
42,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/190508_ppe_v49_n1_art6.pdf,INSERÇÃO PRODUTIVA INTERNACIONAL E INTER-REGIONAL: UMA ANÁLISE A PARTIR DAS CADEIAS GLOBAIS DE VALOR,"Fernando Salgueiro Perobelli, Inácio Fernandes de Araújo, Vinícius de Almeida Vale, Mônica de Moura Pires",,PPE - Pesquisa e Planejamento Econômico - 49 - nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34724
43,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/190115_ppe_v48_n3_art1.pdf,PODER DE MERCADO E NÍVEL DE COMPETIÇÃO NO MERCADO DE EMPRÉSTIMO BANCÁRIO BRASILEIRO,"Marcelo Ranieri Cardoso, Paulo Furquim de Azevedo, Klenio Barbosa","2018 dezembro - Volume 48, 3",PPE - Pesquisa e Planejamento Econômico - 48 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34552
44,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/190115_ppe_v48_n3_art2.pdf,A CONTRIBUIÇÃO DOS RICOS PARA A DESIGUALDADE DE RENDA NO BRASIL,"Marcos Hecksher, Pedro Luis do Nascimento Silva, Carlos Henrique Corseuil",,PPE - Pesquisa e Planejamento Econômico - 48 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34552
45,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/190115_ppe_v48_n3_art3.pdf,"ANÁLISE DO EFEITO DA FAMÍLIA, DA ESCOLA E DO ESTADO SOBRE O CONSUMO DE DROGAS DOS ALUNOS NAS CAPITAIS BRASILEIRAS",Kalinca Léia Becker,,PPE - Pesquisa e Planejamento Econômico - 48 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34552
46,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/190115_ppe_v48_n3_art4.pdf,A DESONERAÇÃO DA FOLHA DE PAGAMENTOS: UMA APLICAÇÃO DO MODELO DE GERAÇÕES SOBREPOSTAS PARA O BRASIL,"Carlos Eduardo de Freitas, Nelson Leitão Paes",,PPE - Pesquisa e Planejamento Econômico - 48 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34552
47,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/190115_ppe_v48_n3_art5.pdf,NOVAS PERSPECTIVAS DECORRENTES DA DECOMPOSIÇÃO DA DESIGUALDADE DE RENDA BRASILEIRA: DESCOBRINDO UMA MAIOR RELEVÂNCIA PARA A FORMALIZAÇÃO,"Janaína Rodrigues Feijó, João Mário Santos de França, Valdemar Rodrigues de Pinho Neto",,PPE - Pesquisa e Planejamento Econômico - 48 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34552
48,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/190115_ppe_v48_n3_art6.pdf,VARIABILIDADE DO EFEITO FLYPAPER E FORÇA POLÍTICA: UMA ANÁLISE PARA OS MUNICÍPIOS BRASILEIROS,"Glauber Marques Nojosa, Fabrício Carneiro Linhares",,PPE - Pesquisa e Planejamento Econômico - 48 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34552
49,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/190115_ppe_v48_n3_art7.pdf,"RESENHA DE POR QUE O BRASIL CRESCE POUCO? DESIGUALDADE, DEMOCRACIA E BAIXO CRESCIMENTO NO PAÍS DO FUTURO",Daniel Suliano,,PPE - Pesquisa e Planejamento Econômico - 48 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34552
50,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/181002_ppe_v48_n2_art01.pdf,CONTRIBUIÇÃO DOS EFEITOS DE FIRMA E DE INDIVÍDUO PARA OS EFEITOS DE LOCALIZAÇÃO SOBRE OS SALÁRIOS E PARA A VARIAÇÃO SALARIAL DO TRABALHADOR FORMAL DO BRASIL,Diana Lúcia Gonzaga da Silva,"2018 agosto - Volume 48, 2",PPE - Pesquisa e Planejamento Econômico - 48 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34315
51,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/181002_ppe_v48_n2_art02.pdf,"RENDA INTERNA BRUTA REAL, GANHOS DE COMÉRCIO E TERMOS DE TROCA NO BRASIL DE 1948 A 2016","Estêvão Kopschitz Xavier Bastos, Pedro Américo",,PPE - Pesquisa e Planejamento Econômico - 48 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34315
52,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/181002_ppe_v48_n2_art03.pdf,"DINÂMICA DA POBREZA, MUDANÇAS MACROECONÔMICAS E DISPARIDADES REGIONAIS NO BRASIL","Dércio Nonato Chaves de Assis, Fabrício Carneiro Linhares",,PPE - Pesquisa e Planejamento Econômico - 48 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34315
53,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/181002_ppe_v48_n2_art04.pdf,FLUTUAÇÕES ECONÔMICAS DURANTE A GRAVIDEZ E INICIAÇÃO AO TABAGISMO ENTRE ADOLESCENTES NO BRASIL: EVIDÊNCIAS A PARTIR DA PESQUISA NACIONAL DE SAÚDE DO ESCOLAR 2012,"Victor Hugo de Oliveira, José Raimundo Carvalho, José Maria da Cunha Junior",,PPE - Pesquisa e Planejamento Econômico - 48 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34315
54,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/181002_ppe_v48_n2_art05.pdf,BACKGROUNDFAMILIAR E DESEMPENHO ESCOLAR: UMA ABORDAGEM NÃO PARAMÉTRICA,"Wallace Patrick Santos de Farias Souza, Victor Rodrigues de Oliveira, Ana Cláudia Annegues",,PPE - Pesquisa e Planejamento Econômico - 48 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34315
55,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/181002_ppe_v48_n2_art06.pdf,ESTÍMULOS FISCAIS E A INTERAÇÃO ENTRE AS POLÍTICAS MONETÁRIA E FISCAL NO BRASIL,"Julio Cesar de Mello Barros, Elcyon Caiado Rocha Lima",,PPE - Pesquisa e Planejamento Econômico - 48 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=34315
56,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/180426_ppe_v48_n1_art_01.pdf,A RELAÇÃO ENTRE INVESTIMENTO ESTRANGEIRO DIRETO E COMÉRCIO INTERNACIONAL NO BRASIL ENTRE 2001 E 2012,"Guilherme Pons Fiorentin, André Filipe Zago de Azevedo, Magnus dos Reis","2018 Abril - Volume 48, 1",PPE - Pesquisa e Planejamento Econômico - 48 - nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=33074
