,Link,PDF Links,Título,Autores,Data Publicação,Publicação Mãe,Autor
10,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39259,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_regional/218388_bru_26_nota_opiniao_presidente.pdf,CPR VERDE COMO INSTRUMENTO DE GERAÇÃO DE RIQUEZA PARA O SEMIÁRIDO BRASILEIRO,,,"Boletim Regional, Urbano e Ambiental nº 26, Julho/Dez de 2021",Erik Alencar de Figueiredo
11,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39259,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_regional/218388_bru_26_nota_pesquisa.pdf,NÚCLEOS URBANOS INFORMAIS: ABORDAGENS METODOLÓGICAS E PRINCIPAIS RESULTADOS DE SUA CARACTERIZAÇÃO E IDENTIFICAÇÃO,,,"Boletim Regional, Urbano e Ambiental nº 26, Julho/Dez de 2021","Cleandro Krause, Flávia da Fonseca Feitosa, Rosana Denaldi, Juliana Gomes Petrarolli"
12,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39243,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/220517_218228_bepi32_apresentacao.pdf,APRESENTAÇÃO,,,"Boletim de Economia e Política Internacional nº 32, Janeiro / Abril 2022","Marina Amaral Egydio de Carvalho, Marcus Maurer de Salles"
13,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39243,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/220517_218228_bepi32_artigo1.pdf,"OS MEGA-ACORDOS REGIONAIS CONTEMPORÂNEOS (CPTPP, RCEP E AFCFTA): UMA PRIMEIRA APROXIMAÇÃO COMPARATIVA AOS ACORDOS E SUAS ESTRUTURAS REGULATÓRIAS",,,"Boletim de Economia e Política Internacional nº 32, Janeiro / Abril 2022","Marina Amaral Egydio de Carvalho, Marcus Maurer de Salles"
14,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39243,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/220517_218228_bepi32_artigo2.pdf,"EFEITOS ECONÔMICOS DE ACORDOS DE LIVRE-COMÉRCIO SOBRE O BRASIL: OS CASOS DA PARCERIA ECONÔMICA REGIONAL ABRANGENTE (RCEP), DO ACORDO ABRANGENTE E PROGRESSIVO PARA A PARCERIA TRANSPACÍFICA (AAPPT) E DO ACORDO DA ZONA DE LIVRE-COMÉRCIO DA ÁFRICA CONTINENTAL (ZLCAC)",,,"Boletim de Economia e Política Internacional nº 32, Janeiro / Abril 2022","Admir Bettarelli Júnior, Weslem Rodrigues Faria"
15,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39243,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/220517_218228_bepi32_artigo3.pdf,IMPACTOS DA PARCERIA ECONÔMICA ABRANGENTE REGIONAL (RCEP) PARA AS MACRORREGIÕES BRASILEIRAS,,,"Boletim de Economia e Política Internacional nº 32, Janeiro / Abril 2022","Elisangela Gelatti, Angelo Costa Gurgel, Heloisa Lee Burnquist"
16,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39243,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/220517_218228_bepi32_artigo4.pdf,"THE COSTS OF BEING OUT OF THE MEGA-AGREEMENTS: THE ECONOMIC IMPACTS OF CPTPP AND RCEP ON BRAZIL, ARGENTINA, INDIA, RUSSIA AND SOUTH AFRICA",,,"Boletim de Economia e Política Internacional nº 32, Janeiro / Abril 2022","Vera Thorstensen, Victor Vieira"
17,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39243,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/220517_218228_bepi32_artigo5.pdf,"INTEGRAÇÃO REGIONAL AFRICANA: PANORAMA, AVANÇOS E DESAFIOS",,,"Boletim de Economia e Política Internacional nº 32, Janeiro / Abril 2022","Caroline Chagas de Assis, Renata Albuquerque Ribeiro, Ana Saggioro Garcia"
18,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/218241_bmt_73_apresentacao.pdf,APRESENTAÇÃO,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,
19,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/218241_bmt_73_analise.pdf,ANÁLISE DO MERCADO DE TRABALHO,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,
20,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/218241_bmt_73_nt_a1.pdf,DETERMINANTES DA PARTICIPAÇÃO DAS MULHERES BRASILEIRAS NA FORÇA DE TRABALHO DURANTE A PANDEMIA DA COVID-19,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,"Natália Guerra da Rocha Macedo, Luana Simões Pinheiro"
21,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/218241_bmt_73_nt_a2.pdf,MUDANÇA ESTRUTURAL REGIONAL E HABILIDADES RELACIONADAS DOS TRABALHADORES,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,"Jefferson Ricardo Bretas Galetti, Milene Simone Tessarin, Paulo César Morceiro"
22,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/218241_bmt_73_nt_a3.pdf,SOBRE A MONTAGEM E A IDENTIFICAÇÃO DOS PAINÉIS DA PNAD CONTÍNUA,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,Rafael Guerreiro Osorio
23,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/218241_bmt_73_pf_a1.pdf,POLÍTICA EM FOCO RETORNO DA EDUCAÇÃO TÉCNICA NO BRASIL: UM ESTUDO EM PAINEL E CROSS-SECTION DE 2007 A 2018,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,"Thiago Mendes Rosa, Bruno de Oliveira Cruz, Luiz Rubens Câmara de Araújo"
24,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/218241_bmt_73_pf_a2.pdf,O ENSINO A DISTÂNCIA AFETA A INSERÇÃO DOS DISCENTES NO MERCADO DE TRABALHO? UM ESTUDO DE CASO FOCADO EM DISCENTES DE CURSOS SUPERIORES DE TECNOLOGIA,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,"André Gambier Campos, Roberto Di Benedetto"
25,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/218241_bmt_73_pf_a3.pdf,CURSO TÉCNICO DE NÍVEL MÉDIO E INSERÇÃO NO ENSINO SUPERIOR,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,"Maurício Cortez Reis, Danielle Carusi Machado"
26,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/218241_bmt_73_pf_a4.pdf,A POLÍTICA PÚBLICA DO SISTEMA NACIONAL DE EMPREGO NO ESTADO DE MINAS GERAIS: UM ESTUDO DO PÚBLICO E SUAS PERSPECTIVAS NO PERÍODO 2011-2018,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,Leonardo Assis Martins Júnior
27,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/218241_bmt_73_pf_a5.pdf,ANÁLISE DAS LINHAS ALTERNATIVAS DE INVESTIMENTO DO PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR: LÓGICA OPERACIONAL E ASSIMETRIAS REGIONAIS,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,"Fábio Alves, Alexandre Arbex Valadares, Sandro Pereira Silva, Lillian Bastian"
28,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/218241_bmt_73__es_a1.pdf,"O IMPACTO DA COVID-19 NAS ASSOCIAÇÕES E COOPERATIVAS DE CATADORAS E CATADORES DE MATERIAIS RECICLÁVEIS EM PORTO ALEGRE, RIO GRANDE DO SUL",,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,Alexandro Cardoso
29,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/218241_bmt_73__es_a2.pdf,ENLACES: UMA EXPERIÊNCIA DE ACOMPANHAMENTO E INCUBAÇÃO DE EMPREENDIMENTO DE ECONOMIA SOLIDÁRIA NO CONTEXTO DA PANDEMIA DA COVID-19,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,"Daniela Maria de Santana, Renata Souza Rolim, Vanderson Gonçalves Carneiro"
30,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/218241_bmt_73__es_a3.pdf,JUVENTUDE E ECONOMIA SOLIDÁRIA: POTENCIALIDADES E DESAFIOS,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,Maria Luisa Carvalho
31,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/218241_bmt_73__es_a4.pdf,POLÍTICAS PÚBLICAS DE GERAÇÃO DE RENDA: O CAMINHAR E A IMPORTÂNCIA DO MARCO LEGAL DA ECONOMIA SOLIDÁRIA,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,"Maria de Nazaré Moraes Soares, Paulo Torres Júnior"
32,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39053,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/220322_bepi_31_apresentacao.pdf,APRESENTAÇÃO,,,"Boletim de Economia e Política Internacional nº 31, Setembro / Dezembro 2021","Marco Aurélio Alves de Mendonça, Carlos Renato da Fonseca Ungaretti Lopes Filho, Juliana Kelly Barbosa da Silva Oliveira"
33,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39053,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/220322_bepi_31_artigo_1.pdf,A NOVA ROTA DA SEDA E A PROJEÇÃO ECONÔMICA INTERNACIONAL DA CHINA: REDES DE FINANCIAMENTO E FLUXOS DE INVESTIMENTO EXTERNO DIRETO (IED),,,"Boletim de Economia e Política Internacional nº 31, Setembro / Dezembro 2021","Marco Aurélio Alves de Mendonça, Carlos Renato da Fonseca Ungaretti Lopes Filho, Juliana Kelly Barbosa da Silva Oliveira"
34,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39053,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/220322_bepi_31_artigo_2.pdf,NORMALIZAÇÃO TÉCNICA: O MODELO CHINÊS,,,"Boletim de Economia e Política Internacional nº 31, Setembro / Dezembro 2021",Luís Fernando Tironi
35,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39053,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/220322_bepi_31_artigo_3.pdf,CONTRIBUIÇÕES BRASILEIRAS A ORGANIZAÇÕES INTERNACIONAIS: UMA PROPOSTA PRELIMINAR PARA ROTINA GERAL,,,"Boletim de Economia e Política Internacional nº 31, Setembro / Dezembro 2021","Guilherme de Oliveira Schmitz, Mariana Costa Guimarães Klemig"
36,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39053,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/220322_bepi_31_artigo_4.pdf,GOVERNOS DEVEM INCENTIVAR A INTERNACIONALIZAÇÃO DE EMPRESAS? UMA ANÁLISE DO CASO DA ALEMANHA,,,"Boletim de Economia e Política Internacional nº 31, Setembro / Dezembro 2021",Marconi Aurélio e Silva
37,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39053,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/220322_bepi_31_artigo_5.pdf,"ANÁLISE DO COMÉRCIO INTERNACIONAL DA AMÉRICA LATINA: ASPECTOS ECONÔMICOS, ENERGÉTICOS E AMBIENTAIS",,,"Boletim de Economia e Política Internacional nº 31, Setembro / Dezembro 2021","Amaro Olimpio Pereira Junior, Rodrigo Gomes Távora Maia"
38,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39053,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/220322_bepi_31_artigo_6.pdf,O DEBATE SOBRE LIBERALIZAÇÃO DAS IMPORTAÇÕES DE FORMA UNILATERAL OU POR MEIO DE ACORDOS COMERCIAIS: UMA ANÁLISE EXPLORATÓRIA,,,"Boletim de Economia e Política Internacional nº 31, Setembro / Dezembro 2021","Honório Kume, Marcelo José Braga Nonnenberg, Fernando J. Ribeiro, Gerlane Gonçalves de Andrade, Helena Nobre de Oliveira"
39,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39053,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/220322_bepi_31_artigo_7.pdf,INSTRUMENTOS DE AVALIAÇÃO DE INVESTIMENTO EXTERNO E O DEBATE LEGISLATIVO NO BRASIL,,,"Boletim de Economia e Política Internacional nº 31, Setembro / Dezembro 2021","Michelle R. Sanchez-Badin, Ana Maria Morais, Carolina Bianchini Bonini"
40,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38800,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_analise_politico/211220_bapi_31_apresentacao.pdf,APRESENTAÇÃO,,,"Boletim de Análise Político-Institucional nº 31, Dezembro 2021","Leonardo Souza Silveira, Luciana Alves Drumond Almeida"
41,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38733,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/211206_bepi_30_apresentacao.pdf,APRESENTAÇÃO,,,"Boletim de Economia e Política Internacional nº 30, Maio / Agosto 2021",Lediany Freitas de Campos
42,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38733,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/211206_bepi_30_art_1.pdf,"PROMOÇÃO DE EXPORTAÇÕES: PRINCIPAIS ORGANIZAÇÕES ENVOLVIDAS, ESTRATÉGIAS E PRÁTICAS EM PAÍSES SELECIONADOS",,,"Boletim de Economia e Política Internacional nº 30, Maio / Agosto 2021",Lediany Freitas de Campos
43,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38733,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/211206_bepi_30_art_2.pdf,ATRAÇÃO DE INVESTIMENTO ESTRANGEIRO – MAPEANDO MELHORES PRÁTICAS DE AGÊNCIAS DE PROMOÇÃO DE INVESTIMENTOS,,,"Boletim de Economia e Política Internacional nº 30, Maio / Agosto 2021",Marta Rossi
44,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38733,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/211206_bepi_30_art_3.pdf,"AVALIAÇÃO DE INVESTIMENTOS EXTERNOS EM INFRAESTRUTURA CRÍTICA:EXEMPLOS NO SETOR DE ENERGIA DA ALEMANHA, DA AUSTRÁLIA, DOS ESTADOS UNIDOS E DA RÚSSIA",,,"Boletim de Economia e Política Internacional nº 30, Maio / Agosto 2021","Michelle Ratton Sanchez-Badin, Ana Maria Morais, Carolina Bianchini Bonini, Manu Misra"
45,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38733,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/211206_bepi_30_art_4.pdf,CENÁRIOS PARA A REDUÇÃO DOS CUSTOS DE COMÉRCIO NO MERCOSUL: EFEITOS SOBRE O COMÉRCIO REGIONAL E MERCADO DE TRABALHO BRASILEIRO,,,"Boletim de Economia e Política Internacional nº 30, Maio / Agosto 2021",Flavio Lyrio Carneiro
46,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38733,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_internacional/211206_bepi_30_art_5.pdf,PROPOSTAS DE REFORMA TARIFÁRIA NO BRASIL: UMA ANÁLISE COMPARATIVA,,,"Boletim de Economia e Política Internacional nº 30, Maio / Agosto 2021",Honorio Kume
47,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38696,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/211125_bmt72_apresentacao_2.pdf,APRESENTAÇÃO,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 72,"Joana Costa, Felipe Mendonça Russo, Guilherme Hirata, Ana Luiza Neves de Holanda Barbosa"
48,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38696,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/211125_bmt72_analise-mercado_2.pdf,ANÁLISE DO MERCADO DE TRABALHO,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 72,"Joana Costa, Felipe Mendonça Russo, Guilherme Hirata, Ana Luiza Neves de Holanda Barbosa"
49,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38696,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/211125_bmt72_nt_1_2.pdf,EMPREGO DOMÉSTICO NO BRASIL: TRANSIÇÕES EM CONTEXTOS DE CRISES,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 72,"Joana Costa, Felipe Mendonça Russo, Guilherme Hirata, Ana Luiza Neves de Holanda Barbosa"
50,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38696,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/211125_bmt72_nt_2_2.pdf,"GÊNERO, TRABALHO REMOTO E TRABALHO REPRODUTIVO NÃO REMUNERADO NO BRASIL DURANTE A PANDEMIA DE COVID-19",,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 72,"Lygia Sabbag Fares, Ana Luíza Matos de Oliveira, Lílian Nogueira Rolim"
51,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38696,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/211125_bmt72_nt_3_2.pdf,PERFIL DOS DIRIGENTES DE ESTABELECIMENTO DA AGRICULTURA FAMILIAR: UMA COMPARAÇÃO ENTRE OS CENSOS AGROPECUÁRIOS 2006 E 2017,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 72,Alexandre Arbex Valadares
52,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38696,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/211125_bmt72_nt_4_2.pdf,ANÁLISE DO USO DO INFORMANTE PROXY NA PNAD CONTÍNUA,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 72,"Elizabeth Belo Hypólito, Denise Britz do Nascimento Silva"
53,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38696,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/211125_bmt72_nt_5_2.pdf,DIFERENCIAL SALARIAL PÚBLICO-PRIVADO CONTRIBUI PARA A DESIGUALDADE DE RENDA?,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 72,"Joana Costa, Fernando Gaiger Silveira, Bruna de Souza Azevedo, Sandro Sacchet de Carvalho"
54,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38696,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/211125_bmt72_pf_a1_2.pdf,"UMA AVALIAÇÃO DE IMPACTO DO PROGRAMA DE GERAÇÃO DE EMPREGO E RENDA SOBRE O EMPREGO, A FOLHA SALARIAL E AS DEMISSÕES SEM JUSTA CAUSA NO SETOR FORMAL BRASILEIRO: SÍNTESE DOS PRINCIPAIS RESULTADOS",,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 72,"Carlos Henrique Corseuil, Miguel N. Foguel, Felipe Russo"
55,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38696,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/211125_bmt72_pf_a2_2.pdf,CARACTERIZAÇÃO SOCIOECONÔMICA DE BENEFICIÁRIOS DO ABONO SALARIAL NO BRASIL,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 72,"Sandro Pereira Silva, Fábio Waltenberg, Marcela Nogueira Ferrario, Filipe Guedes Soares"
56,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38696,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/211125_bmt72_economia_solidaria_a1_2.pdf,BASES DE SERVIÇO DE COMERCIALIZAÇÃO PARA A AGRICULTURA FAMILIAR E ECONOMIA SOLIDÁRIA: CONTRIBUIÇÕES PARA ESTRATÉGIAS DE ATER NA PROMOÇÃO DE TERRITÓRIOS RURAIS SUSTENTÁVEIS,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 72,Regilane Fernandes da Silva
57,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38696,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/mercadodetrabalho/211125_bmt72_economia_solidaria_a2_2.pdf,ANÁLISE SITUACIONAL DOS EMPREENDIMENTOS DE ECONOMIA SOLIDÁRIA BENEFICIÁRIOS DO PROJETO ECONOMIA SOLIDÁRIA DO RIO GRANDE DO NORTE,,,Boletim Mercado de Trabalho - Conjuntura e Análise nº 72,"Inaê Naiara Lopes Marques de Oliveira, Josiane Bezerra Tibúrcio Mendes, Lidiane Freire de Jesus, Marcejane Tomaz de Brito, Raianny Priscilla de Sousa Santiago"
