Título,Link,Tipo,Data da Publicação
TD 2785 - A Imagem do Burocrata Insatisfatório: Uma Apreciação,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39457&Itemid=466,,
,,,
Policy Brief - Em Questão - Evidências para políticas públicas - Presença de Militares em Cargos e Funções Comissionadas do Executivo Federal,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39456&Itemid=466,,
,,,
Nota Técnica - 2022 - Julho - Número 31 - Dirur - Consórcios Públicos Interfederativos no Brasil: Descrição das Principais Fontes de Informação e Resultados Preliminares,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39454&Itemid=7,,
,,,
"Tempo do Mundo, Número 28 - Abril 2022",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39439&Itemid=4,,
,,,
TD 2783 - Políticas de Fomento ao Desenvolvimento de Fármacos e Medicamentos no Brasil: Panorama de 1998 a 2020,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39443&Itemid=466,,
,,,
Nota Técnica - 2022 - Julho - Número 32 - Dirur - Integraçao Pecuária-Lavoura: Avanços e Principais Desafios,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39435&Itemid=7,,
,,,
TD 2784 - O Estudante de Hoje Financiado Pelo Profissional do Amanhã: Proposta de um Sistema Nacional de Financiamento Estudantil com Pagamentos Vinculados à Renda Futura - Funcionamento e Fonte de Recursos,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39436&Itemid=466,,
,,,
TD 2781 - Tendências e Desigualdades da Mobilidade Urbana no Brasil II: Características e Padrões de Consumo da Mobilidade por aplicativo,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39432&Itemid=466,,
,,,
Uma solução em busca de um problema :repensando o enfrentamento ao tráfico de pessoas no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466,,
,,,
"Publicação Preliminar - 2022 - Julho - O Licenciamento como Instrumento de Regulação Ambiental: Desafios, Propostas e Perspectivas",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39424,,
,,,
TD 2782 - Um Modelo Para Projeção de Arrecadação Tributária dos Entes Subnacionais,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39419,,
,,,
TD 2780 - Avaliação de Efeitos da Cooperação Sul-Sul Para o Desenvolvimento do Brasil: Um Modelo Geral Para Projetos Bilaterais Com Países Africanos de Língua Portuguesa,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39415,,
,,,
"Notas da Presidência - 2022 - Julho - Número 11 - Liberdade econômica, choque de produtividade e a redução do custo do trabalho como fatores determinantes para a igualdade salarial de mulheres e homens",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39414,,
,,,
TD 2770 - Avaliação de Políticas de Redução Tarifária dos Sistemas de Transporte Público Coletivo no Brasil: Evidências Empíricas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39411,,
,,,
Nota Técnica - 2022 - Julho - Número 57 - Diest - Atuação das Organizações da Sociedade Civil no Sistema Prisional Brasileiro: Perfil das OSCs e Projetos Desenvolvidos,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39409,,
,,,
Policy Brief - Em Questão - Evidências para políticas públicas - Concurso Público Nacional Unificado da Magistratura do Trabalho: Breves Características de um Processo Seletivo Inédito,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39413,,
,,,
Nota Técnica - 2022 - Julho- Número 56 - Dinte - Facilitação de Comércio e Tecnologias Digitais: Análise para os Países do BRICS,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39406,,
,,,
Nota Técnica - 2022 - Junho - Número 54 - Dinte - O sistema tributário dos países da OCDE e as principais recomendações da entidade: Fornecendo parâmetros para a reforma tributária no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39403,,
,,,
TD 2779 - Tributação e Inovação: Uma Revisão da Literatura,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39405,,
,,,
TD 2778 - O Sistema Tributário da China: Um olhar a Partir do Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39404,,
,,,
"Notas da Presidência - 2022 - Julho - Número 10 - Programa Auxílio Brasil: Ampliação da Cobertura, Reajuste do Valor do Benefício e as suas Interações com o Mercado de Trabalho Formal",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39401,,
,,,
Nota Técnica - 2022 - Junho - Número 55 - Dinte - Acessão do Brasil à OCDE: Efeitos Sobre Indicadores Econômicos e o Caminho à Frente,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39388,,
,,,
Notas da Presidência - 2022 - Junho - Número 09 - Uma Reflexão sobre a Recente Redução da Violência no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39387,,
,,,
TD 2777 - O Setor de Gás Natural no Brasil: Uma Comparação com os países da OCDE,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39384,,
,,,
TD 2776 - Avaliando a Qualidade dos Serviços de Distribuição de Energia Elétrica no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39383,,
,,,
Nota Técnica - 2021 - Setembro - Número 55 - Diest - Metodologia para a Seleção dos Municípios Participantes do Programa Nacional de Enfrentamento de Homicídios e Roubos,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39379,,
,,,
TD 2772 - Distribuição Espacial de Características Sociodemográficas e Localização de Empregos e Serviços Públicos Das Vinte Maiores Cidades do Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39374,,
,,,
Notas da Presidência - 2022 - Junho - Número 08 - Reflexões Iniciais sobre os Efeitos Econômicos da Entrada Massiva de Imigrantes Venezuelanos no Estado de Roraima,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39357,,
,,,
TD 2775 - As Medidas Não Tarifárias Constituem Barreiras ao Comércio? Uma Abordagem Global e Multissetorial.,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39368,,
,,,
Publicação Preliminar - 2022 - Junho - Catálogo de Políticas Públicas: Primeiros Resultados e Hipóteses de Pesquisa,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39367,,
,,,
Nota Técnica - 2022 - Junho - Número 98 - Diset - O setor de petróleo no Brasil e os impactos do Projeto de Lei n° 3.178/2019 no pré-sal,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39364,,
,,,
Notas da Presidência - 2022 - Junho - Número 07 - O Efeito da Covid-19 sobre os Indicadores de Pobreza Brasileiros e as Políticas de Mitigação: Uma Discussão Inicial,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39355,,
,,,
TD 2774 - Avaliando o Desempenho da Indústria Brasileira,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39351,,
,,,
Notas da Presidência - 2022 - Junho - Número 06 - Os Impactos da Regularização Fundiária Urbana sobre a Desigualdade de Renda Brasileira,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39345,,
,,,
Publicação Preliminar - 2022 - Junho - Exportação Virtual de Recursos Hídricos: A Experiência Brasileira com a Produção de Carne Bovina,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39340,,
,,,
TD 2769 - Acesso à justiça do trabalho: Antes e depois da reforma trabalhista,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39338,,
,,,
TD 2773 - Quão Fechadas são as Porteiras Ministeriais? Filiações e Fracionamento Partidário na Burocracia Política da Esplanada (1999-2018),https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39331,,
,,,
"Technical Note - 2022 - June - Number 01 - Dirur - Agriculture and Livestock, Energy and the Forest-Sparing Effect: an International Comparison",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39328,,
,,,
"Nota Técnica - 2022 - Junho - Número 30 - Dirur - Agricultura e Pecuária, Energia e o Efeito Poupa-Florestas: Um Comparativo Internacional",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39327,,
,,,
Notas da Presidência - 2022 - Junho - Número 05 - Consolidação Fiscal e Crescimento Econômico: Uma Reflexão sobre o Brasil Pós-2020,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39324,,
,,,
TD 2771 - Metodologias de Avaliação e Análise de Impacto: Abordagens e Aplicações no Âmbito da Regulação Urbana,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39323,,
,,,
Nota Técnica - 2022 - Junho - Número 04 - Dides - A conta de estabilização de peços de combustíveis e a disponibilidade de recursos à sua estruturação: O projeto de Lei nº 1.472/2021 em discussão,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39320,,
,,,
Nota Técnica - 2022 - Junho - Número 29 - Dirur - Indicadores de produtividade e sustentabilidade do setor agropecuário brasileiro,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39319,,
,,,
Nota Técnica - 2022 - Junho - Número 05 - Dides - Remuneração dos depósitos voluntários e seus efeitos sobre a dívida pública: quando o conceito faz (toda) diferença,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39318,,
,,,
Notas da Presidência - 2022 - Junho - Número 04 - Acessão do Brasil à OCDE: Impactos Econômicos Esperados,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39313,,
,,,
TD 2764 - Produtividade total dos fatores na agricultura - Brasil e Países Selecionados,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39308,,
,,,
Publicação Preliminar - 2022 - Maio - Presença de militares em cargos e funções comissionados do Executivo Federal,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39298,,
,,,
Publicação Preliminar - 2022 - Maio - Risco Regulatório e Estimativa do Impacto Financeiro Potencial do PDL 94/2022 nos Investimentos em Infraestrutura,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39301,,
,,,
Notas da Presidência - 2022 - Maio - Número 03 - Modernização do Setor Elétrico: Redução da Tarifa de Energia e seus Rebatimentos Sobre o Crescimento Econômico Regional,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39293,,
,,,
TD 2768 - Minerais estratégicos e críticos: Uma visão internacional e da política mineral brasileira,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39283,,
,,,
Notas da Presidência - 2022 - Maio - Número 02 - Redução das Tarifas de Importação e seus Efeitos Sobre o Bem-Estar Econômico,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39282,,
,,,
Publicação Preliminar - 2022 - Maio - Governança Orçamentária no Brasil - A relação entre avaliação e orçamento e o papel do conselho de monitoramento e avaliação de políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39276,,
,,,
Publicação Preliminar - 2022 - Maio - Governança Orçamentária no Brasil - O crescente protagonismo do Tribunal de Contas da União na Governança Orçamentária na década de 2010,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39275,,
,,,
Publicação Preliminar - 2022 - Maio - Governança Orçamentária no Brasil - Orçamento sem cidadania: Impedimentos à participação e controle social no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39274,,
,,,
Publicação Preliminar - 2022 - Maio - Caminhos do desmonte de políticas no Brasil: Condicionantes e hipóteses,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39272,,
,,,
Nota Técnica - 2022 - Maio - Número 03 - Dides - Por dentro da caixa preta: Explorando as peculiaridades das emendas parlamentares do Relator-Geral,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39268,,
,,,
Nota Técnica - 2022 - Maio - Número 28 - Dirur - Reformando o setor elétrico brasileiro: Uma aproximação com os países da OCDE,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39265,,
,,,
Policy Brief - Em Questão - Evidências para políticas públicas - INCLUA - Plataforma de recursos Pró-Equidade em políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39264,,
,,,
"Boletim Regional, Urbano e Ambiental nº 26, Julho/Dez de 2021",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39259,,
,,,
DP 268 - The Platformization of Science: Lattes Platform at a Crossroads?,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39254,,
,,,
"Publicação Preliminar - 2022 - Maio - Análise preliminar da seleção de propostas do Programa de Regularização Fundiária e Melhoria Habitacional, integrante do Programa Casa Verde e Amarela",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39251,,
,,,
"TD 2767 - Impactos da expansão do metrô de Fortaleza sobre o acesso a oportunidades de emprego, saúde e educação",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39248,,
,,,
"Boletim de Economia e Política Internacional nº 32, Janeiro / Abril 2022",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39243,,
,,,
"Publicação Preliminar - 2022 - Maio - Análise ""ex ante"" de políticas públicas: fundamentos teórico-conceituais e orientações metodológicas para a sua aplicação prática",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39242,,
,,,
TD 2766 - Flexibilidade entre plantio e arrendamento rural no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39233,,
,,,
Nota Técnica - 2022 - Maio - Número 101 - Disoc - Gasto social com crianças e adolescentes: Descrição metodológica,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39227,,
,,,
Carta de Conjuntura - 2022 - 1º Trimestre - nº 54,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39222,,
,,,
"TD 2765 - Expansão da produção agrícola, novas tecnologias de produção, aumento de produtividade e o desnível tecnológico no meio rural",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39219,,
,,,
"Nota Técnica - 2022 - Maio - Número 52 - Dinte - A Nova Rota da Seda e a Projeção Econômica Internacional da China: Redes de Financiamento, Fluxos de Investimento Externo Direto (IED) e Contratos de Construção",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39218,,
,,,
TD 2758 - Suporte Agrícola a Partir de Dados da Organização Para a Cooperação e o Desenvolvimento Econômico (OCDE): Duas Décadas Sob Análise,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39214,,
,,,
Boletim Mercado de Trabalho - Conjuntura e Análise nº 73,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39212,,
,,,
Universidade e Território - Ensino superior e desenvolvimento regional no Brasil do século XXI,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39207,,
,,,
"Publicação Preliminar - 2022 - Maio - Políticas públicas, governança orçamentária e o setor paraestatal",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39206,,
,,,
Publicação Preliminar - 2022 - Maio - Mudanças recentes na governança orçamentária federal: Um novo regime a partir da EC 95?,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39205,,
,,,
Policy Brief - Em Questão - Evidências para políticas públicas - Os governos estaduais na gestão das políticas sociais,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39193,,
,,,
TD 2761 - Brasil - Venezuela: Evolução das relações bilaterais e implicações da crise venezuelana para a inserção regional brasileira (1999 - 2021),https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39188,,
,,,
TD 2763 - Contribuições do programa de aquisição de alimentos para a segurança alimentar e nutricional no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39187,,
,,,
TD 2762 - Descentralização Federativa e Desafios de Implementação do Programa Nacional de Alimentação Escolar: Uma análise Pós-Lei nº 11.947/2009,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39173,,
,,,
DP 267 - Dynamic Capabilities of the Public Sector: Towards a New Synthesis,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39169,,
,,,
Publicação Preliminar - 2022 - Abril - Controle parlamentar por meio de autorizações orçamentárias condicionadas: Pontos de partida para o estudo da experiência brasileira com obras públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39167,,
,,,
Publicação Preliminar - 2022 - Abril - Orçamento impositivo das emendas coletivas de bancada: Indo além do poder de emenda versus poder de agenda,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39166,,
,,,
Publicação Preliminar - 2022 - Abril - Gasto tributário no Brasil: Evolução e hipóteses explicativas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39165,,
,,,
Publicação Preliminar - 2022 - Abril - Fugindo do jogo para ganhar - O peso dos gastos tributários,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39164,,
,,,
Nota Técnica - 2022 - Abril - Número 51 - Dinte - Dinâmica da economia agrícola da China e de suas províncias e regiões,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39163,,
,,,
Publicação Preliminar - 2022 - Abril - Investir em Inovação é Garantir o Futuro,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39162,,
,,,
Radar - 2022 - Abril - Nº 69,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39153,,
,,,
TD 2760 - Proteção Social Entre os Idosos Brasileiros: Tendências e Perspectivas Pós-Promulgação da Constituição Federal de 1988,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39148,,
,,,
"TD 2753 - Objetivos do Desenvolvimento Sustentável, Plano Nacional de Educação e Professores do Ensino Básico Brasileiro",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39154,,
,,,
DP 266 - The Role of Industrial Sector in The Brazilian Territorial Reconfiguration: New Expressions For XXI Century National Dilemmas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39134,,
,,,
Políticas públicas e usos de evidências no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39135,,
,,,
Technical Note - 2022 - April - Número 08 - Dinte - Research for investment cooperation between Brazil and China,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39133,,
,,,
Nota Técnica - 2022 - Abril - Número 50 - Dinte - Normalização Técnica : O Modelo Chinês,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39130,,
,,,
"TD 2759 - Política de comercialização agrícola comparada: Brasil, Estados Unidos e União Europeia",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39122,,
,,,
Nota Técnica - 2022 - Março - Número 47 - Dinte - Participar em cadeia global de valor é objetivo de política?,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39121,,
,,,
TD 2752 - Avaliação dos Conflitos do Compartilhamento de Postes Entre os Setores de Distribuição de Energia e Telecomunicações,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39111,,
,,,
"Nota Técnica - 2022 - Abril - Número 49 - Dinte - Acessão à OCDE: Experiências recentes e seus efeitos sobre investimento, comércio e crescimento econômico",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39108,,
,,,
Publicações - PPE - volume 51 - número 2,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39105,,
,,,
"DP 265 - Brazilian Maritime GDP, Social, Economic and Environmental Motivations for its Measurement and Monitoring",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39104,,
,,,
Nota Técnica - 2022 - Março - Número 48 - Dinte - A Dinâmica Rescente do Algodão no Mato Grosso: Possibilidades de Exportação para o Peru e Ásia-Pacífico,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39103,,
,,,
"Água, Problemas Complexos e o Plano Nacional de Segurança Hídrica",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39102,,
,,,
Policy Brief - Em Questão - Evidências para políticas públicas - Ações Afirmativas no Serviço Público: A Reserva de Vagas para Pessoas Negras,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39101,,
,,,
Nota Técnica - 2022 - Março - Número 27 - Dirur - Impactos fatais da covid-19 nos trabalhadores brasileiros,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39100,,
,,,
"Políticas Sociais - acompanhamento e análise nº 29, 2022",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39098,,
,,,
Nota Técnica - 2022 - Março - Número 46 - Dinte - FAB vs Embraer: considerações sobre a revisão do programa KC-390,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39097,,
,,,
TD 2745 - Coordenação Entre Instâncias de Governo e o Papel do Ministério da Saúde no Sistema Único de Saúde,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39092,,
,,,
Notas da Presidência - 2022 - Março - Número 01 - Comentários sobre o Desempenho Recente do Mercado de Trabalho Brasileiro e a Taxa de Desemprego de Longo Prazo,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39091,,
,,,
"DP 264 - Trade and Competition: Mark-UPS, Concentration, and International Orientation - Discussion and Empirical Test for Brazilian Manufacturing Sectors",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39088,,
,,,
Publicação Preliminar - 2022 - Março - Indicadores de Produtividade e Sustentabilidade do Setor Agropecuário Brasileiro,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39087,,
,,,
"TD 2754 - Aníbal Pinto, Schumpeter e Friedman em um coquetel: Uma Proposta de Sistema de Capacitação e Financiamento do Aumento da Produtividade das MPEs com Pagamento quando e se o Negócio Prospera.",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39086,,
,,,
"Tempo do Mundo, Número 27 - Dezembro 2021",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39081,,
,,,
TD 2755 - O Perfil na Produção da Agricultura Familiar Entre os Censos Agropecuários de 2006 e 2017: Um Panorama e Sinais de Mudanças,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39080,,
,,,
TD 2757 - Avalição de Impacto da lei de Informática Utilizando os Métodos Propensity Score Matching e Diferenças em Diferenças.,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39079,,
,,,
TD 2746 - Novas Tecnologias e Infraestrutura do Setor Elétrico Brasileiro - Armazenamento de Energia em Baterias.,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39083,,
,,,
TD 2756 - Uso da água no Brasil: O papel do efeito tecnológico,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39075,,
,,,
Publicação Preliminar - 2022 - Março - A Política de Microcrédito como Ferramenta para o Fortalecimento dos Pequenos Negócios e a Inclusão Produtiva dos Pequenos Empreendedores,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39462,,
,,,
"TD 2751 - Do Casa Verde e Amarela ao Banco Nacional da Habilitação, passando pelo minha casa minha vida: Uma avaliação da velha nova política de desenvolvimento urbano",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39067,,
,,,
TD 2749 - Novos Rumos da Educação: Como as Experiências Recentes de Educação On-Line Podem Ajudar a Repensar a Escola,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39063,,
,,,
TD 2750 -Uso de Evidências Pela Burocracia Dirigente do Nível Federal,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39066,,
,,,
Nota Técnica - 2022 - Março - Número 44 - Dinte - Integração Econômica Bilateral Argentina-Brasil: reconstruindo pontes,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39065,,
,,,
"TD 2747 -O Making of de Uma Grande Política Pública: Estratégia, Planejamento e Apoio à Decisão na Construção do Plano Marshall",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39060,,
,,,
Nota Técnica - 2022 - Março - Número 07 - Dinte - China-Brazil Agricultural Trade Research,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39057,,
,,,
"Boletim de Economia e Política Internacional nº 31, Setembro / Dezembro 2021",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39053,,
,,,
"DP 263 - Science, Technology end Innovation in the Strategic Programs of the Brazilian Navy",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39049,,
,,,
TD 2748 - O Desenvolvimento da Agricultura do Brasil e o Papel da Embrapa,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39050,,
,,,
Nota Técnica - 2022 - Março - Número 02 - Dides - Precatórios da União: ascensão e comportamento entre os órgãos orçamentários,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39048,,
,,,
"Nota Técnica - 2022 - Março - Número 45 - Dinte - Evolução da agricultura chinesa, da fome às reformas de desenvolvimento do setor",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39034,,
,,,
"TD 2740 - PIB do Mar Brasileiro, Motivações Sociais, Econômicas e Ambientais Para sua Mensuração e seu Monitoramento",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39035,,
,,,
